name,type,town,hire_rate,positive_value_1,positive_value_2,positive_value_3,negative_value_1,negative_value_2,negative_value_3,industry,website
Company C,Technology,Guaynabo,Low,Professional,Professional,Convenient,Slow,Slow,Complex,Healthcare,Null
Company D,Finance,Caguas,Medium,Innovative,Professional,Convenient,Slow,Noisy,Slow,Finance,Null
Company B,Technology,Guaynabo,Medium,Innovative,Trustworthy,Innovative,Complex,Expensive,Expensive,Hospitality,Null
Company B,Retail,Caguas,High,Innovative,Convenient,Professional,Noisy,Inconvenient,Slow,Healthcare,https://www.example.com
Company E,Healthcare,Bayamon,Low,Innovative,Professional,Convenient,Noisy,Expensive,Noisy,Finance,https://www.example.com
Company E,Retail,Guaynabo,High,Reliable,Professional,Innovative,Complex,Inconvenient,Complex,Retail,Null
Company A,Retail,Guaynabo,Low,Innovative,Trustworthy,Professional,Inconvenient,Complex,Complex,Technology,https://www.example.com
Company E,Retail,San Juan,Medium,Innovative,Innovative,Professional,Inconvenient,Complex,Noisy,Retail,Null
Company C,Finance,Guaynabo,Medium,Convenient,Reliable,Reliable,Complex,Inconvenient,Inconvenient,Hospitality,Null
Company E,Technology,San Juan,Medium,Professional,Innovative,Trustworthy,Expensive,Complex,Inconvenient,Hospitality,Null
Company C,Technology,Bayamon,Low,Innovative,Trustworthy,Reliable,Expensive,Complex,Complex,Healthcare,https://www.example.com
Company E,Restaurant,Guaynabo,High,Trustworthy,Innovative,Convenient,Complex,Expensive,Expensive,Healthcare,https://www.example.com
Company A,Healthcare,Ponce,Low,Convenient,Professional,Convenient,Expensive,Noisy,Complex,Finance,https://www.example.com
Company D,Finance,Bayamon,Medium,Innovative,Reliable,Professional,Inconvenient,Noisy,Slow,Hospitality,Null
Company C,Restaurant,Caguas,Medium,Convenient,Innovative,Reliable,Expensive,Complex,Complex,Finance,https://www.example.com
Company A,Finance,San Juan,High,Trustworthy,Innovative,Innovative,Noisy,Inconvenient,Expensive,Hospitality,https://www.example.com
Company B,Restaurant,San Juan,Medium,Trustworthy,Innovative,Convenient,Expensive,Inconvenient,Noisy,Hospitality,Null
Company A,Technology,Bayamon,Low,Trustworthy,Reliable,Innovative,Slow,Inconvenient,Inconvenient,Healthcare,Null
Company C,Retail,Bayamon,High,Trustworthy,Trustworthy,Professional,Inconvenient,Slow,Expensive,Technology,Null
Company C,Healthcare,Bayamon,High,Reliable,Professional,Trustworthy,Inconvenient,Complex,Slow,Hospitality,Null
Company E,Finance,Bayamon,Medium,Trustworthy,Innovative,Reliable,Slow,Complex,Noisy,Finance,Null
Company D,Retail,Bayamon,High,Professional,Reliable,Trustworthy,Expensive,Complex,Inconvenient,Healthcare,Null
Company B,Restaurant,Bayamon,High,Innovative,Professional,Convenient,Complex,Noisy,Noisy,Technology,https://www.example.com
Company D,Retail,Guaynabo,High,Convenient,Reliable,Professional,Complex,Slow,Inconvenient,Hospitality,Null
Company E,Healthcare,San Juan,Low,Trustworthy,Convenient,Professional,Complex,Noisy,Inconvenient,Healthcare,Null
Company B,Technology,San Juan,Low,Trustworthy,Trustworthy,Trustworthy,Complex,Slow,Complex,Retail,https://www.example.com
Company A,Healthcare,Guaynabo,Low,Trustworthy,Reliable,Professional,Slow,Expensive,Complex,Retail,Null
Company B,Technology,Ponce,High,Reliable,Innovative,Professional,Slow,Noisy,Inconvenient,Technology,https://www.example.com
Company E,Healthcare,Guaynabo,High,Professional,Professional,Convenient,Slow,Complex,Inconvenient,Technology,https://www.example.com
Company A,Restaurant,Guaynabo,High,Trustworthy,Professional,Professional,Noisy,Complex,Complex,Technology,https://www.example.com
Company A,Finance,Guaynabo,Medium,Trustworthy,Convenient,Reliable,Complex,Slow,Complex,Finance,Null
Company B,Healthcare,Bayamon,Medium,Professional,Innovative,Trustworthy,Inconvenient,Inconvenient,Slow,Healthcare,https://www.example.com
Company B,Retail,Bayamon,Medium,Convenient,Reliable,Convenient,Slow,Noisy,Inconvenient,Healthcare,https://www.example.com
Company C,Technology,Guaynabo,Low,Innovative,Convenient,Trustworthy,Complex,Noisy,Expensive,Technology,https://www.example.com
Company B,Retail,San Juan,High,Professional,Professional,Trustworthy,Noisy,Noisy,Expensive,Finance,Null
Company B,Retail,Guaynabo,Low,Innovative,Innovative,Professional,Complex,Inconvenient,Noisy,Hospitality,https://www.example.com
Company E,Retail,San Juan,Low,Trustworthy,Trustworthy,Professional,Complex,Slow,Inconvenient,Finance,https://www.example.com
Company E,Finance,Guaynabo,High,Trustworthy,Reliable,Trustworthy,Expensive,Complex,Expensive,Healthcare,https://www.example.com
Company B,Healthcare,San Juan,Low,Professional,Innovative,Innovative,Complex,Inconvenient,Complex,Retail,https://www.example.com
Company C,Restaurant,Guaynabo,Medium,Professional,Innovative,Trustworthy,Noisy,Expensive,Slow,Healthcare,https://www.example.com
Company D,Restaurant,Bayamon,Medium,Convenient,Reliable,Innovative,Expensive,Expensive,Inconvenient,Retail,https://www.example.com
Company A,Restaurant,Ponce,Medium,Innovative,Reliable,Convenient,Inconvenient,Inconvenient,Inconvenient,Retail,Null
Company A,Technology,Caguas,High,Reliable,Trustworthy,Convenient,Expensive,Complex,Slow,Finance,Null
Company A,Healthcare,Ponce,Medium,Convenient,Professional,Professional,Inconvenient,Complex,Inconvenient,Hospitality,https://www.example.com
Company C,Finance,San Juan,Medium,Trustworthy,Professional,Professional,Complex,Complex,Complex,Technology,Null
Company A,Restaurant,Guaynabo,High,Convenient,Professional,Professional,Inconvenient,Slow,Complex,Technology,https://www.example.com
Company B,Technology,San Juan,High,Professional,Innovative,Professional,Inconvenient,Complex,Expensive,Retail,Null
Company A,Technology,San Juan,Low,Trustworthy,Convenient,Innovative,Expensive,Noisy,Slow,Retail,https://www.example.com
Company B,Retail,Guaynabo,Low,Innovative,Trustworthy,Trustworthy,Inconvenient,Complex,Noisy,Retail,Null
Company A,Technology,San Juan,Medium,Convenient,Innovative,Innovative,Inconvenient,Noisy,Complex,Healthcare,https://www.example.com
Company B,Finance,San Juan,High,Convenient,Professional,Trustworthy,Expensive,Noisy,Inconvenient,Technology,Null
Company C,Healthcare,San Juan,Low,Innovative,Professional,Convenient,Inconvenient,Complex,Noisy,Healthcare,https://www.example.com
Company A,Retail,Bayamon,Low,Convenient,Reliable,Trustworthy,Slow,Slow,Inconvenient,Healthcare,Null
Company B,Retail,Guaynabo,Low,Professional,Professional,Convenient,Slow,Inconvenient,Slow,Healthcare,https://www.example.com
Company D,Technology,Bayamon,High,Convenient,Convenient,Reliable,Inconvenient,Noisy,Expensive,Healthcare,https://www.example.com
Company B,Finance,Caguas,High,Professional,Convenient,Innovative,Expensive,Expensive,Expensive,Finance,Null
Company B,Healthcare,San Juan,High,Convenient,Trustworthy,Reliable,Complex,Inconvenient,Inconvenient,Retail,https://www.example.com
Company B,Finance,Ponce,Low,Convenient,Convenient,Reliable,Expensive,Noisy,Slow,Hospitality,Null
Company B,Healthcare,Bayamon,High,Reliable,Convenient,Innovative,Slow,Inconvenient,Expensive,Healthcare,https://www.example.com
Company A,Retail,Bayamon,High,Professional,Reliable,Convenient,Expensive,Slow,Noisy,Healthcare,Null
Company C,Technology,Guaynabo,Low,Professional,Innovative,Innovative,Inconvenient,Inconvenient,Inconvenient,Retail,Null
Company B,Retail,Ponce,Low,Trustworthy,Innovative,Convenient,Noisy,Noisy,Noisy,Healthcare,Null
Company C,Restaurant,Guaynabo,Medium,Trustworthy,Convenient,Reliable,Complex,Inconvenient,Noisy,Technology,Null
Company D,Healthcare,San Juan,Medium,Reliable,Convenient,Innovative,Expensive,Complex,Inconvenient,Hospitality,https://www.example.com
Company D,Retail,Ponce,Low,Innovative,Professional,Convenient,Slow,Inconvenient,Complex,Retail,Null
Company E,Technology,Caguas,Medium,Trustworthy,Convenient,Professional,Slow,Complex,Inconvenient,Hospitality,Null
Company D,Technology,Ponce,High,Professional,Convenient,Reliable,Slow,Noisy,Complex,Healthcare,https://www.example.com
Company A,Retail,Guaynabo,High,Innovative,Convenient,Convenient,Slow,Expensive,Inconvenient,Retail,https://www.example.com
Company B,Retail,San Juan,Medium,Reliable,Reliable,Trustworthy,Slow,Noisy,Complex,Hospitality,Null
Company E,Finance,Ponce,Medium,Reliable,Convenient,Reliable,Noisy,Complex,Slow,Retail,Null
Company D,Technology,Caguas,Medium,Convenient,Professional,Convenient,Noisy,Complex,Noisy,Finance,https://www.example.com
Company E,Finance,Bayamon,Low,Reliable,Convenient,Innovative,Inconvenient,Slow,Complex,Finance,Null
Company C,Technology,Guaynabo,High,Professional,Convenient,Innovative,Inconvenient,Expensive,Slow,Finance,https://www.example.com
Company B,Restaurant,Guaynabo,Medium,Innovative,Trustworthy,Innovative,Expensive,Complex,Complex,Healthcare,https://www.example.com
Company E,Retail,Guaynabo,High,Innovative,Innovative,Reliable,Complex,Complex,Noisy,Healthcare,Null
Company B,Technology,San Juan,Low,Reliable,Professional,Reliable,Complex,Slow,Slow,Finance,https://www.example.com
Company C,Retail,San Juan,High,Convenient,Innovative,Innovative,Complex,Inconvenient,Slow,Finance,Null
Company D,Restaurant,Ponce,Low,Innovative,Professional,Convenient,Expensive,Inconvenient,Complex,Healthcare,Null
Company B,Finance,Guaynabo,Medium,Reliable,Convenient,Reliable,Slow,Noisy,Slow,Finance,Null
Company A,Finance,Guaynabo,Medium,Reliable,Reliable,Professional,Complex,Complex,Inconvenient,Healthcare,Null
Company A,Finance,Bayamon,Medium,Trustworthy,Convenient,Innovative,Inconvenient,Expensive,Slow,Hospitality,https://www.example.com
Company A,Technology,Bayamon,Low,Professional,Professional,Convenient,Complex,Complex,Noisy,Technology,https://www.example.com
Company A,Retail,Caguas,High,Professional,Trustworthy,Innovative,Inconvenient,Expensive,Noisy,Healthcare,https://www.example.com
Company C,Restaurant,San Juan,Low,Professional,Convenient,Reliable,Noisy,Expensive,Noisy,Technology,Null
Company B,Restaurant,Bayamon,Low,Reliable,Reliable,Convenient,Slow,Noisy,Complex,Retail,https://www.example.com
Company D,Retail,Ponce,Low,Reliable,Reliable,Convenient,Inconvenient,Complex,Slow,Finance,https://www.example.com
Company B,Healthcare,San Juan,Medium,Professional,Professional,Professional,Noisy,Slow,Slow,Finance,Null
Company A,Restaurant,Caguas,Low,Innovative,Convenient,Convenient,Complex,Complex,Complex,Technology,Null
Company A,Technology,San Juan,Medium,Convenient,Reliable,Trustworthy,Inconvenient,Slow,Slow,Retail,https://www.example.com
Company D,Finance,Guaynabo,Low,Reliable,Reliable,Reliable,Complex,Expensive,Complex,Hospitality,https://www.example.com
Company E,Restaurant,Ponce,Medium,Innovative,Professional,Professional,Inconvenient,Expensive,Slow,Finance,Null
Company B,Retail,San Juan,Low,Convenient,Reliable,Convenient,Slow,Complex,Complex,Finance,Null
Company E,Retail,Ponce,Low,Professional,Innovative,Convenient,Noisy,Slow,Noisy,Technology,Null
Company A,Healthcare,Caguas,High,Trustworthy,Innovative,Innovative,Expensive,Complex,Slow,Healthcare,Null
Company D,Healthcare,Bayamon,Medium,Reliable,Innovative,Reliable,Slow,Slow,Expensive,Technology,Null
Company E,Finance,Bayamon,Low,Reliable,Trustworthy,Innovative,Inconvenient,Slow,Expensive,Healthcare,https://www.example.com
Company D,Healthcare,San Juan,High,Reliable,Convenient,Innovative,Noisy,Complex,Inconvenient,Healthcare,https://www.example.com
Company B,Restaurant,San Juan,Medium,Convenient,Trustworthy,Professional,Noisy,Inconvenient,Inconvenient,Finance,https://www.example.com
Company A,Retail,Guaynabo,High,Professional,Convenient,Reliable,Noisy,Inconvenient,Expensive,Retail,https://www.example.com
Company A,Technology,Ponce,Low,Trustworthy,Innovative,Professional,Inconvenient,Inconvenient,Noisy,Finance,Null
Company C,Restaurant,Ponce,Medium,Trustworthy,Innovative,Convenient,Noisy,Complex,Complex,Hospitality,Null
Company C,Retail,San Juan,Low,Trustworthy,Trustworthy,Professional,Noisy,Complex,Complex,Retail,Null
Company A,Restaurant,Bayamon,Medium,Innovative,Convenient,Innovative,Slow,Inconvenient,Expensive,Healthcare,Null
Company A,Retail,Ponce,Medium,Professional,Convenient,Professional,Complex,Slow,Expensive,Hospitality,https://www.example.com
Company D,Restaurant,Bayamon,Medium,Convenient,Professional,Convenient,Noisy,Slow,Noisy,Finance,Null
Company C,Healthcare,Ponce,Medium,Convenient,Convenient,Trustworthy,Complex,Expensive,Noisy,Technology,Null
Company D,Technology,Ponce,Medium,Professional,Professional,Reliable,Expensive,Noisy,Expensive,Retail,https://www.example.com
Company E,Technology,Ponce,High,Innovative,Convenient,Convenient,Inconvenient,Expensive,Slow,Hospitality,Null
Company D,Retail,Guaynabo,High,Professional,Reliable,Reliable,Expensive,Slow,Expensive,Healthcare,https://www.example.com
Company A,Retail,Caguas,High,Reliable,Trustworthy,Convenient,Expensive,Complex,Expensive,Hospitality,Null
Company A,Retail,Ponce,Low,Trustworthy,Professional,Professional,Inconvenient,Inconvenient,Expensive,Retail,Null
Company A,Technology,San Juan,High,Innovative,Professional,Professional,Slow,Slow,Inconvenient,Technology,https://www.example.com
Company C,Technology,Bayamon,Low,Innovative,Professional,Innovative,Noisy,Noisy,Complex,Hospitality,https://www.example.com
Company E,Restaurant,Guaynabo,Medium,Convenient,Reliable,Convenient,Inconvenient,Expensive,Noisy,Finance,Null
Company A,Retail,San Juan,Low,Reliable,Professional,Professional,Slow,Complex,Slow,Healthcare,Null
Company B,Technology,Caguas,Medium,Trustworthy,Convenient,Professional,Complex,Slow,Slow,Finance,https://www.example.com
Company B,Finance,Caguas,Medium,Innovative,Reliable,Innovative,Expensive,Slow,Slow,Finance,Null
Company D,Restaurant,Guaynabo,Medium,Trustworthy,Trustworthy,Professional,Slow,Complex,Complex,Healthcare,https://www.example.com
Company B,Technology,Bayamon,High,Innovative,Innovative,Reliable,Slow,Slow,Inconvenient,Technology,Null
Company C,Technology,Guaynabo,High,Convenient,Innovative,Convenient,Noisy,Inconvenient,Inconvenient,Finance,https://www.example.com
Company C,Restaurant,Bayamon,Low,Reliable,Reliable,Professional,Complex,Slow,Slow,Technology,Null
Company B,Finance,Ponce,High,Reliable,Reliable,Reliable,Complex,Inconvenient,Inconvenient,Finance,Null
Company A,Technology,Caguas,Low,Trustworthy,Trustworthy,Reliable,Complex,Slow,Inconvenient,Healthcare,https://www.example.com
Company D,Finance,Ponce,Low,Professional,Innovative,Professional,Complex,Noisy,Slow,Finance,https://www.example.com
Company E,Technology,Caguas,Medium,Professional,Trustworthy,Professional,Expensive,Noisy,Slow,Retail,https://www.example.com
Company D,Retail,Caguas,Low,Trustworthy,Trustworthy,Innovative,Slow,Slow,Noisy,Hospitality,Null
Company D,Restaurant,Caguas,Low,Trustworthy,Innovative,Convenient,Inconvenient,Expensive,Expensive,Retail,Null
Company C,Technology,Guaynabo,Low,Convenient,Innovative,Reliable,Inconvenient,Slow,Expensive,Technology,Null
Company B,Healthcare,Ponce,Medium,Reliable,Innovative,Convenient,Inconvenient,Expensive,Expensive,Technology,Null
Company C,Healthcare,Ponce,Medium,Convenient,Reliable,Professional,Inconvenient,Noisy,Noisy,Technology,Null
Company C,Restaurant,Ponce,Low,Innovative,Convenient,Innovative,Noisy,Slow,Noisy,Hospitality,Null
Company E,Finance,Caguas,Medium,Convenient,Reliable,Reliable,Slow,Complex,Complex,Healthcare,https://www.example.com
Company E,Healthcare,San Juan,Low,Innovative,Trustworthy,Innovative,Noisy,Complex,Complex,Hospitality,Null
Company A,Healthcare,Caguas,Medium,Convenient,Trustworthy,Innovative,Noisy,Noisy,Complex,Healthcare,Null
Company B,Finance,San Juan,Medium,Convenient,Innovative,Reliable,Complex,Complex,Inconvenient,Retail,Null
Company E,Healthcare,Guaynabo,Low,Convenient,Trustworthy,Convenient,Expensive,Slow,Complex,Finance,Null
Company A,Restaurant,Ponce,Low,Innovative,Convenient,Reliable,Slow,Expensive,Expensive,Technology,Null
Company D,Retail,San Juan,High,Trustworthy,Reliable,Trustworthy,Complex,Noisy,Expensive,Technology,https://www.example.com
Company B,Healthcare,Guaynabo,High,Professional,Convenient,Professional,Expensive,Inconvenient,Noisy,Hospitality,https://www.example.com
Company B,Restaurant,San Juan,Low,Reliable,Innovative,Trustworthy,Inconvenient,Inconvenient,Noisy,Healthcare,Null
Company E,Retail,Guaynabo,High,Convenient,Innovative,Professional,Inconvenient,Expensive,Inconvenient,Technology,Null
Company A,Healthcare,Caguas,Low,Trustworthy,Reliable,Innovative,Noisy,Noisy,Noisy,Finance,Null
Company B,Restaurant,San Juan,Low,Professional,Professional,Reliable,Inconvenient,Expensive,Expensive,Retail,https://www.example.com
Company B,Restaurant,San Juan,Medium,Convenient,Innovative,Professional,Complex,Complex,Inconvenient,Finance,https://www.example.com
Company A,Finance,San Juan,Medium,Reliable,Trustworthy,Professional,Slow,Inconvenient,Inconvenient,Retail,Null
Company D,Restaurant,Bayamon,High,Professional,Reliable,Convenient,Expensive,Expensive,Noisy,Retail,https://www.example.com
Company C,Finance,San Juan,Medium,Professional,Professional,Trustworthy,Expensive,Complex,Slow,Technology,Null
Company C,Healthcare,Caguas,Low,Trustworthy,Innovative,Reliable,Slow,Complex,Slow,Healthcare,Null
Company B,Healthcare,Ponce,Low,Innovative,Innovative,Convenient,Inconvenient,Expensive,Expensive,Retail,Null
Company D,Retail,San Juan,Low,Innovative,Professional,Innovative,Inconvenient,Complex,Complex,Retail,https://www.example.com
Company C,Technology,Guaynabo,High,Trustworthy,Trustworthy,Innovative,Noisy,Noisy,Complex,Hospitality,Null
Company A,Finance,Caguas,High,Reliable,Innovative,Convenient,Inconvenient,Complex,Noisy,Hospitality,Null
Company C,Healthcare,Bayamon,Low,Reliable,Reliable,Reliable,Noisy,Complex,Slow,Healthcare,https://www.example.com
Company E,Restaurant,Bayamon,High,Reliable,Innovative,Trustworthy,Expensive,Expensive,Complex,Retail,Null
Company D,Finance,Ponce,Low,Convenient,Convenient,Trustworthy,Expensive,Expensive,Expensive,Technology,Null
Company D,Healthcare,Bayamon,Low,Reliable,Innovative,Reliable,Inconvenient,Inconvenient,Complex,Healthcare,https://www.example.com
Company B,Finance,San Juan,Medium,Reliable,Innovative,Reliable,Noisy,Inconvenient,Inconvenient,Hospitality,https://www.example.com
Company E,Restaurant,Bayamon,High,Innovative,Convenient,Trustworthy,Slow,Noisy,Noisy,Healthcare,Null
Company C,Finance,Guaynabo,Low,Reliable,Innovative,Innovative,Inconvenient,Noisy,Noisy,Healthcare,Null
Company D,Restaurant,Ponce,Medium,Trustworthy,Innovative,Convenient,Expensive,Complex,Slow,Retail,Null
Company A,Restaurant,Ponce,Low,Convenient,Innovative,Innovative,Expensive,Inconvenient,Inconvenient,Technology,Null
Company A,Retail,Ponce,Low,Trustworthy,Professional,Trustworthy,Complex,Slow,Complex,Healthcare,https://www.example.com
Company A,Retail,Caguas,Low,Innovative,Convenient,Innovative,Expensive,Inconvenient,Inconvenient,Healthcare,https://www.example.com
Company E,Technology,Bayamon,Medium,Professional,Reliable,Reliable,Inconvenient,Expensive,Expensive,Hospitality,Null
Company D,Healthcare,Bayamon,Low,Professional,Professional,Trustworthy,Complex,Expensive,Slow,Retail,Null
Company D,Finance,Caguas,Low,Innovative,Professional,Innovative,Noisy,Complex,Slow,Hospitality,https://www.example.com
Company D,Healthcare,Guaynabo,Medium,Professional,Innovative,Convenient,Expensive,Expensive,Complex,Technology,https://www.example.com
Company B,Restaurant,Bayamon,Low,Reliable,Trustworthy,Reliable,Complex,Complex,Complex,Hospitality,Null
Company A,Retail,San Juan,High,Convenient,Reliable,Trustworthy,Noisy,Slow,Complex,Technology,Null
Company C,Finance,San Juan,Medium,Professional,Convenient,Professional,Inconvenient,Expensive,Inconvenient,Healthcare,Null
Company C,Retail,Bayamon,Medium,Innovative,Trustworthy,Trustworthy,Complex,Inconvenient,Slow,Hospitality,Null
Company A,Restaurant,Caguas,Medium,Professional,Reliable,Professional,Noisy,Complex,Slow,Retail,https://www.example.com
Company E,Technology,Guaynabo,Medium,Convenient,Professional,Reliable,Expensive,Complex,Expensive,Healthcare,https://www.example.com
Company D,Finance,Ponce,High,Convenient,Innovative,Reliable,Expensive,Noisy,Complex,Hospitality,Null
Company B,Restaurant,San Juan,Low,Convenient,Trustworthy,Reliable,Expensive,Slow,Expensive,Healthcare,https://www.example.com
Company B,Healthcare,San Juan,High,Professional,Reliable,Convenient,Expensive,Expensive,Noisy,Retail,Null
Company A,Finance,Guaynabo,Medium,Convenient,Innovative,Convenient,Noisy,Inconvenient,Noisy,Hospitality,https://www.example.com
Company D,Healthcare,Guaynabo,Low,Professional,Reliable,Convenient,Expensive,Complex,Expensive,Technology,Null
Company E,Restaurant,Bayamon,Low,Convenient,Trustworthy,Reliable,Inconvenient,Inconvenient,Slow,Retail,Null
Company D,Retail,Bayamon,Medium,Reliable,Trustworthy,Innovative,Inconvenient,Slow,Complex,Technology,Null
Company D,Healthcare,Caguas,Medium,Professional,Reliable,Reliable,Expensive,Noisy,Expensive,Hospitality,Null
Company E,Technology,Ponce,Low,Professional,Convenient,Trustworthy,Slow,Slow,Slow,Healthcare,Null
Company B,Retail,Guaynabo,High,Trustworthy,Convenient,Innovative,Complex,Expensive,Expensive,Finance,https://www.example.com
Company E,Retail,Caguas,Low,Professional,Trustworthy,Reliable,Expensive,Complex,Inconvenient,Hospitality,https://www.example.com
Company B,Finance,Ponce,High,Convenient,Trustworthy,Trustworthy,Expensive,Slow,Slow,Hospitality,https://www.example.com
Company B,Retail,Guaynabo,High,Reliable,Trustworthy,Innovative,Inconvenient,Slow,Noisy,Finance,https://www.example.com
Company D,Restaurant,Bayamon,High,Trustworthy,Reliable,Innovative,Inconvenient,Noisy,Complex,Healthcare,https://www.example.com
Company B,Retail,Caguas,Low,Trustworthy,Reliable,Professional,Slow,Noisy,Expensive,Technology,Null
Company E,Technology,Ponce,Low,Convenient,Reliable,Professional,Complex,Expensive,Complex,Retail,Null
Company C,Restaurant,Caguas,High,Professional,Reliable,Innovative,Inconvenient,Inconvenient,Slow,Retail,Null
Company D,Technology,San Juan,High,Professional,Convenient,Trustworthy,Complex,Slow,Slow,Retail,https://www.example.com
Company E,Finance,San Juan,High,Innovative,Reliable,Convenient,Slow,Noisy,Inconvenient,Healthcare,https://www.example.com
Company C,Finance,San Juan,Medium,Reliable,Trustworthy,Convenient,Slow,Noisy,Slow,Healthcare,Null
Company B,Finance,San Juan,High,Innovative,Trustworthy,Innovative,Noisy,Noisy,Slow,Hospitality,Null
Company E,Retail,Caguas,Medium,Reliable,Innovative,Reliable,Slow,Inconvenient,Inconvenient,Retail,Null
Company D,Healthcare,Bayamon,Low,Convenient,Trustworthy,Trustworthy,Expensive,Slow,Inconvenient,Finance,https://www.example.com
Company E,Healthcare,Bayamon,Low,Reliable,Trustworthy,Professional,Noisy,Noisy,Noisy,Hospitality,https://www.example.com
Company A,Healthcare,Caguas,Low,Innovative,Innovative,Reliable,Complex,Complex,Expensive,Technology,https://www.example.com
Company A,Healthcare,Ponce,High,Convenient,Professional,Reliable,Slow,Slow,Slow,Healthcare,Null
Company D,Retail,Caguas,Medium,Trustworthy,Reliable,Trustworthy,Expensive,Slow,Inconvenient,Retail,Null
Company C,Finance,Guaynabo,Medium,Professional,Convenient,Convenient,Complex,Noisy,Complex,Hospitality,https://www.example.com
Company C,Restaurant,Ponce,Low,Professional,Reliable,Reliable,Expensive,Inconvenient,Slow,Finance,Null
Company C,Finance,Guaynabo,Medium,Convenient,Reliable,Reliable,Noisy,Expensive,Slow,Finance,https://www.example.com
Company C,Finance,Bayamon,Low,Trustworthy,Innovative,Professional,Expensive,Complex,Noisy,Finance,https://www.example.com
Company B,Finance,Ponce,High,Reliable,Innovative,Professional,Complex,Noisy,Noisy,Technology,https://www.example.com
Company E,Healthcare,Caguas,Medium,Convenient,Trustworthy,Reliable,Slow,Expensive,Slow,Retail,Null
Company B,Finance,San Juan,Medium,Professional,Reliable,Reliable,Slow,Noisy,Expensive,Retail,https://www.example.com
Company C,Healthcare,Bayamon,Medium,Professional,Reliable,Professional,Noisy,Expensive,Complex,Finance,Null
Company B,Finance,Ponce,High,Professional,Professional,Convenient,Expensive,Expensive,Complex,Hospitality,Null
Company C,Finance,Ponce,High,Innovative,Convenient,Innovative,Noisy,Noisy,Complex,Healthcare,https://www.example.com
Company D,Healthcare,Guaynabo,High,Trustworthy,Professional,Professional,Inconvenient,Complex,Expensive,Retail,https://www.example.com
Company E,Finance,Guaynabo,Medium,Trustworthy,Reliable,Convenient,Slow,Noisy,Expensive,Technology,Null
Company D,Restaurant,Ponce,Medium,Convenient,Convenient,Innovative,Expensive,Expensive,Complex,Hospitality,Null
Company C,Restaurant,Ponce,Low,Trustworthy,Reliable,Innovative,Slow,Expensive,Noisy,Retail,https://www.example.com
Company A,Restaurant,Ponce,High,Trustworthy,Convenient,Convenient,Inconvenient,Slow,Noisy,Healthcare,https://www.example.com
Company B,Healthcare,Ponce,High,Trustworthy,Convenient,Reliable,Inconvenient,Complex,Expensive,Technology,https://www.example.com
Company E,Healthcare,Caguas,Medium,Trustworthy,Convenient,Convenient,Inconvenient,Complex,Slow,Healthcare,https://www.example.com
Company A,Technology,Ponce,Medium,Innovative,Professional,Convenient,Expensive,Slow,Inconvenient,Hospitality,Null
Company D,Retail,Bayamon,High,Professional,Convenient,Trustworthy,Inconvenient,Inconvenient,Slow,Finance,https://www.example.com
Company D,Finance,Caguas,Low,Trustworthy,Innovative,Reliable,Complex,Complex,Inconvenient,Hospitality,Null
Company D,Healthcare,Caguas,High,Innovative,Reliable,Convenient,Expensive,Inconvenient,Noisy,Finance,Null
Company E,Restaurant,Guaynabo,High,Innovative,Convenient,Convenient,Expensive,Expensive,Noisy,Retail,https://www.example.com
Company E,Finance,Caguas,Medium,Innovative,Trustworthy,Professional,Inconvenient,Complex,Slow,Technology,Null
Company B,Restaurant,Bayamon,Low,Professional,Trustworthy,Convenient,Noisy,Slow,Slow,Retail,Null
Company D,Technology,Guaynabo,Low,Innovative,Innovative,Trustworthy,Noisy,Slow,Slow,Technology,https://www.example.com
Company E,Finance,Ponce,Medium,Innovative,Convenient,Convenient,Complex,Complex,Expensive,Hospitality,https://www.example.com
Company A,Retail,Guaynabo,Medium,Trustworthy,Professional,Professional,Slow,Complex,Noisy,Retail,https://www.example.com
Company B,Retail,San Juan,High,Professional,Convenient,Trustworthy,Expensive,Slow,Inconvenient,Healthcare,https://www.example.com
Company A,Retail,San Juan,High,Trustworthy,Innovative,Trustworthy,Expensive,Inconvenient,Slow,Retail,https://www.example.com
Company A,Retail,Ponce,Low,Convenient,Professional,Reliable,Complex,Inconvenient,Inconvenient,Hospitality,Null
Company D,Retail,Ponce,High,Professional,Innovative,Reliable,Noisy,Slow,Expensive,Finance,Null
Company B,Technology,Ponce,High,Innovative,Convenient,Convenient,Noisy,Noisy,Slow,Retail,Null
Company C,Retail,Ponce,Medium,Reliable,Convenient,Professional,Slow,Noisy,Expensive,Retail,https://www.example.com
Company A,Restaurant,San Juan,High,Innovative,Professional,Trustworthy,Noisy,Noisy,Expensive,Finance,Null
Company D,Healthcare,Bayamon,Medium,Innovative,Reliable,Innovative,Noisy,Complex,Complex,Technology,https://www.example.com
Company B,Restaurant,San Juan,Low,Trustworthy,Convenient,Reliable,Expensive,Noisy,Slow,Finance,https://www.example.com
Company D,Healthcare,Guaynabo,Low,Professional,Trustworthy,Trustworthy,Noisy,Inconvenient,Expensive,Finance,https://www.example.com
Company B,Retail,Ponce,Low,Professional,Trustworthy,Reliable,Noisy,Expensive,Inconvenient,Healthcare,https://www.example.com
Company B,Retail,Ponce,Medium,Reliable,Professional,Reliable,Noisy,Inconvenient,Expensive,Technology,Null
Company A,Healthcare,Guaynabo,High,Trustworthy,Convenient,Trustworthy,Complex,Slow,Expensive,Finance,https://www.example.com
